308,Grenada
858,Uruguay
417,Kyrgyzstan
124,Canada
818,Egypt
076,Brazil
184,CookIslands
558,Nicaragua
704,VietNam
400,Jordan
384,C̫ted'Ivoire
703,Slovakia
410,RepublicofKorea
882,Samoa
554,NewZealand
364,Iran(IslamicRepublicof)
740,Suriname
324,Guinea
442,Luxembourg
795,Turkmenistan
634,Qatar
886,
756,Switzerland
276,Germany
894,Zambia
418,LaoPeople'sDemocraticRepublic
280,
348,Hungary
862,Venezuela(BolivarianRepublicof)
798,Tuvalu
752,Sweden
192,Cuba
214,DominicanRepublic
052,Barbados
804,Ukraine
496,Mongolia
148,Chad
498,RepublicofMoldova
504,Morocco
642,Romania
736,Sudan
440,Lithuania
528,Netherlands
380,Italy
368,Iraq
616,Poland
583,Micronesia(FederatedStatesof)
250,France
048,Bahrain
352,Iceland
807,TheformerYugoslavRepublicofMacedonia
036,Australia
434,LibyanArabJamahiriya
643,RussianFederation
860,Uzbekistan
140,CentralAfricanRepublic
810,
116,Cambodia
320,Guatemala
524,Nepal
242,Fiji
764,Thailand
492,Monaco
188,CostaRica
392,Japan
762,Tajikistan
466,Mali
624,Guinea-Bissau
585,Palau
051,Armenia
266,Gabon
480,Mauritius
372,Ireland
591,Panama
180,DemocraticRepublicoftheCongo
662,SaintLucia
336,HolySee
356,India
008,Albania
230,
004,Afghanistan
702,Singapore
426,Lesotho
414,Kuwait
566,Nigeria
626,Timor-Leste
218,Ecuador
548,Vanuatu
450,Madagascar
562,Niger
854,BurkinaFaso
600,Paraguay
278,
646,Rwanda
404,Kenya
584,MarshallIslands
262,Djibouti
226,EquatorialGuinea
784,UnitedArabEmirates
682,SaudiArabia
222,ElSalvador
887,Yemen
376,Israel
890,
670,SaintVincentandtheGrenadines
748,Swaziland
340,Honduras
152,Chile
,Yugoslavia
204,Benin
174,Comoros
,
840,UnitedStatesofAmerica
144,SriLanka
246,Finland
792,Turkey
200,
064,Bhutan
196,Cyprus
288,Ghana
178,Congo
104,Myanmar
032,Argentina
438,Liechtenstein
208,Denmark
516,Namibia
608,Philippines
068,Bolivia(PlurinationalStateof)
470,Malta
156,China
191,Croatia
578,Norway
454,Malawi
040,Austria
212,Dominica
070,BosniaandHerzegovina
430,Liberia
659,SaintKittsandNevis
499,Montenegro
620,Portugal
020,Andorra
100,Bulgaria
724,Spain
478,Mauritania
044,Bahamas
788,Tunisia
705,Slovenia
296,Kiribati
678,SaoTomeandPrincipe
686,Senegal
232,Eritrea
270,Gambia
132,CapeVerde
300,Greece
694,SierraLeone
056,Belgium
422,Lebanon
120,Cameroon
231,Ethiopia
826,UnitedKingdom
388,Jamaica
462,Maldives
268,Georgia
072,Botswana
024,Angola
834,UnitedRepublicofTanzania
780,TrinidadandTobago
332,Haiti
586,Pakistan
598,PapuaNewGuinea
084,Belize
604,Peru
096,BruneiDarussalam
716,Zimbabwe
108,Burundi
170,Colombia
112,Belarus
090,SolomonIslands
674,SanMarino
760,SyrianArabRepublic
398,Kazakhstan
234,FaroeIslands
891,SerbiaandMontenegro
508,Mozambique
720,
233,Estonia
776,Tonga
706,Somalia
360,Indonesia
570,Niue
688,Serbia
768,Togo
012,Algeria
028,AntiguaandBarbuda
484,Mexico
428,Latvia
512,Oman
800,Uganda
050,Bangladesh
710,SouthAfrica
031,Azerbaijan
328,Guyana
408,DemocraticPeople'sRepublicofKorea
520,Nauru
458,Malaysia
690,Seychelles
203,CzechRepublic
722,SmallIslandDevelopingStates
001,World
432,land-lockeddevelopingcountry
199,leastdevelopedcountries
057,Micronesia
053,AustraliaandNewZealand
019,Americas
151,easternEurope
054,Melanesia
035,south-easternAsia
017,middleAfrica
154,northernEurope
150,Europe
061,Polynesia
39,southernEurope
155,westernEurope
030,easternAsia
029,Caribbean
142,Asia
013,centralAmerica
014,easternAfrica
034,southernAsia
021,northernAmerica
005,SouthAmerica
143,CentralAsia
145,westernAsia
015,northernAfrica
009,Oceania
002,Africa
011,westernAfrica
